LONGITUDE,LATITUDE,id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,geometry
-79.49983426,43.77077015,7625651,2,BP-11699,70,The Pond Rd,,,Seneca Lane,,,7,,Rack,Existing,0,304813.343,4847867.805,"{u'type': u'Point', u'coordinates': (-79.4998342614, 43.770770152)}"
-79.50421178,43.76816595,7625652,7,BP-11900,8,Assiniboine Rd,,,Nelson Rd,,,7,,Rack,Existing,0,304460.91,4847578.496,"{u'type': u'Point', u'coordinates': (-79.5042117859, 43.7681659541)}"
-79.40012741,43.65305776,7625653,66,BP-03501,8,Kensington Ave,,,Kensington Ave,,,11,Kensington Market,Ring,Existing,0,312856.125,4834795.334,"{u'type': u'Point', u'coordinates': (-79.4001274087, 43.6530577621)}"
-79.41149341,43.64145121,7625654,108,BP-12883,21,Canniff St,,,Strachan Ave,,,10,,Ring,Existing,0,311940.672,4833504.872,"{u'type': u'Point', u'coordinates': (-79.4114934143, 43.6414512067)}"
-79.36478674,43.65197019,7625655,171,BP-14805,359,King St E,,,Derby St,,,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,315707.043,4834678.549,"{u'type': u'Point', u'coordinates': (-79.3647867345, 43.6519702)}"
-79.30206303,43.6696526,7625656,219,BP-12074,1960,Queen St E,,,Kenilworth Ave,,,19,The Beach,Ring,Existing,0,320761.996,4836653.121,"{u'type': u'Point', u'coordinates': (-79.3020630339, 43.6696525999)}"
-79.39533618,43.67200033,7625657,244,BP-15966,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,,11,,Ring,Existing,0,313239.951,4836900.226,"{u'type': u'Point', u'coordinates': (-79.3953361766, 43.6720003272)}"
-79.39211961,43.64531759,7625658,275,BP-03939,50,Blue Jays Way,,,Mercer St,,,10,Toronto Entertainment District,Ring,Temporarily Removed,0,313503.184,4833936.254,"{u'type': u'Point', u'coordinates': (-79.3921196079, 43.6453175951)}"
-79.44391316,43.6577609,7625659,289,BP-05924,1313,Bloor St W,,,St Helens Ave,,,9,Bloordale Village,Ring,Temporarily Removed,0,309323.837,4835314.509,"{u'type': u'Point', u'coordinates': (-79.4439131599, 43.657760908)}"
-79.37406138,43.65708838,7625660,323,BP-07928,189,Dundas St E,,,Dundas St E,,,13,,Ring,Temporarily Removed,0,314958.036,4835245.974,"{u'type': u'Point', u'coordinates': (-79.3740613855, 43.6570883871)}"
